Type,Name,Description,Genre,Release Date,Season,Cast,Platform,Link
Movie,Here,"From the reunited director, writer, and stars of Forrest Gump, Here is an original film about multiple families and a special place they inhabit. The story travels through generations, capturing the human experience in its purest form.",Drama,2024,-,"Robin Wright, Tom Hanks, Michelle Dockery, Kelly Reilly",Amazon Prime Video,https://www.primevideo.com/detail/0OTKQTWC15YBBC0EH0V10VPVV1/ref=atv_br_def_r_br_c_unkc_1_9
Movie,The Idea of You,"Based on the acclaimed, contemporary love story of the same name, The Idea of You centers on Sol√®ne (Anne Hathaway), a 40-year-old single mom who begins an unexpected romance with 24-year-old Hayes Campbell (Nicholas Galitzine), the lead singer of August Moon, the hottest boy band on the planet.",Romance,2024,-,Cathy Schulman,Amazon Prime Video,https://www.primevideo.com/detail/0NRT15S2XG06SG5HBV5NQAW3E3/ref=atv_br_def_r_br_c_unkc_1_10
Movie,Oppenheimer,"Christopher Nolan's breathtaking global phenomenon about the father of the atomic bomb stars Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., and Florence Pugh.",Historical,2023,-,"Emma Thomas, Charles Roven, Christopher Nolan",Amazon Prime Video,https://www.primevideo.com/detail/0TQ0HYSFFKAO9W3UUIOMSTPUJ7/ref=atv_br_def_r_br_c_unkc_1_11
Movie,Apocalypto,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Action,2006,-,"Bruce Davey, Sergio Miranda",Amazon Prime Video,https://www.primevideo.com/detail/0GRD71LW2ELV7JO2WN0251R06I/ref=atv_br_def_r_br_c_unkc_1_12
Movie,The Fall Guy (2024),"A stuntman must track down a missing movie star, solve a conspiracy, and win back the love of his life while still doing his day job in this action-packed thrill ride.",Action,2024,-,"Paul Barry, Guymon Casady, Peter Cramer, Ryan Gosling, Glen A. Larson, David Leitch, Kelly McCormick",Amazon Prime Video,https://www.primevideo.com/detail/0P0AX4TEJ0R0ZXSM44B7RDXUDG/ref=atv_br_def_r_br_c_unkc_1_13
Movie,Hypnotic,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,Action,2023,-,"Ryan Basford, Guy Botham, Crystal Bourbeau, Beth Bruckner O'Brien, Vincent Bruzzese, Christelle Conan, Court Coursey",Amazon Prime Video,https://www.primevideo.com/detail/0LXATUNLDRKMFL8B48CYBNT95K/ref=atv_br_def_r_br_c_unkc_1_14
Movie,Waves,"The epic emotional journey of a suburban African American family as they navigate love, forgiveness and coming together in the wake of a tragic loss.",Drama,2019,-,"Justin R. Chan, Jacob Jaffke, Harrison Kreiss, Chad Rothman, Trey Edward Shults, Kevin Turen, James Wilson, Inman Young",Amazon Prime Video,https://www.primevideo.com/detail/0QKCH04TUHRCNBR0093NML57H5/ref=atv_br_def_r_br_c_unkc_1_15
Movie,The Tomorrow War,"Time travelers arrive from 2051 to deliver an urgent message: 30 years in the future mankind is losing a war against a deadly alien species. The only hope for survival is for soldiers and civilians to be transported to the future and join the fight. Determined to save the world for his daughter, Dan Forester teams up with a brilliant scientist and his estranged father to rewrite the planet's fate.",Action,2021,-,Chris Pratt,Amazon Prime Video,https://www.primevideo.com/detail/0L8V88NU7CFYRKM857QDN2O5B4/ref=atv_br_def_r_br_c_unkc_1_16
Movie,After,"AFTER follows Tessa, a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart, as she enters her first semester in college. Armed with grand ambitions for her future, her guarded world opens up when she meets the dark and mysterious Hardin Scott.",Drama,2019,-,"Mark Canton, Jennifer Gibgot, Anna Todd, Dennis Pelino, Aron Levitz, Courtney Solomon",Amazon Prime Video,https://www.primevideo.com/detail/0OSFLG53I410J773BL8K7CAS84/ref=atv_br_def_r_br_c_unkc_1_17
Movie,Samaritan,"Thirteen year old Sam Cleary (Javon ""Wanna""ù Walton) suspects that his mysteriously reclusive neighbor Mr. Smith (Sylvester Stallone) is actually the legendary vigilante Samaritan, who was reported dead 25 years ago. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.",Action,2022,-,"Sylvester Stallone, Javon ‚ÄúWanna‚Äù Walton, Pilou Asb√¶k, Dascha Polanco, Moises Arias, Martin Starr, Sophia Tatum, Jared Odrick, Henry G. Sanders, Shameik Moore",Amazon Prime Video,https://www.primevideo.com/detail/0G5R1VKP82GQGD8A6P9P1AGRJ0/ref=atv_br_def_r_br_c_unkc_1_18
