Type,Name,Description,Genre,Release Date,Season,Cast,Platform,Link
TV Show,1883,"Seeking a better life, the Dutton family undertakes a dangerous trek across the Great Plains toward the land destined to become Yellowstone Ranch.",Western,2021,1 Season,"Sam Elliott, Tim McGraw, Faith Hill",Netflix,https://www.netflix.com/ca/title/81559259
Movie,13 Hours: The Secret Soldiers of Benghazi,"Members of an elite security team battle to save the lives of trapped US Consulate personnel under attack by armed terrorists in Benghazi, Libya.",Action,2016,-,"John Krasinski, James Badge Dale, Max Martini",Netflix,https://www.netflix.com/ca/title/80067930
Movie,A Dog's Way Home,"A devoted, homesick dog goes on a treacherous journey across the American heartland to be reunited with her owner.",Drama,2019,-,"Ben Ratner, Jonah Hauer-King, Spencer Drever",Netflix,https://www.netflix.com/ca/title/81010969
TV Show,Adolescence,"When a 13-year-old is accused of the murder of a classmate, his family, therapist and the detective in charge are all left asking: what really happened?",Drama,2025,1 Season,"Stephen Graham, Ashley Walters, Erin Doherty",Netflix,https://www.netflix.com/ca/title/81756069
Movie,Aftermath,"Forced to reckon with his past, a war veteran leads the charge against a terrorist group that's trapped him and his sister on a bridge full of civilians.",Action,2024,-,"Dylan Sprouse, Mason Gooding, Dichen Lachman",Netflix,https://www.netflix.com/ca/title/81785091
TV Show,ALVINNN!!! And the Chipmunks,"Raised by their human dad, a scrappy young musical chipmunk and his brothers get into mischief and learn plenty of valuable lessons along the way.",Kids,2016,5 Seasons,"Ross Bagdasarian Jr., Janice Karman, Vanessa Bagdasarian",Netflix,https://www.netflix.com/ca/title/80097036
Movie,American Assassin,"After grad student Mitch Rapp suffers a tragic loss during a terrorist attack, his single-minded thirst for vengeance catches the interest of the CIA.",Action,2017,-,"Dylan O'Brien, Michael Keaton, Sanaa Lathan",Netflix,https://www.netflix.com/ca/title/80182951
TV Show,American Murder: Gabby Petito,"What happened in the final days of Gabby Petito's life? In this gripping true-crime series, her loved ones reveal the untold story of her tragic murder.",Documentary,2025,1 Season,,Netflix,https://www.netflix.com/ca/title/81733793
TV Show,American Primeval,A mother and son fleeing from their past form a found family while confronting a harsh landscape of freedom and cruelty in the American West.,Drama,2024,1 Season,"Taylor Kitsch, Betty Gilpin, Dane DeHaan",Netflix,https://www.netflix.com/ca/title/81457507
TV Show,Avatar: The Last Airbender,"Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar, whose air-bending powers can defeat the evil Fire Nation.",Kids,2005,3 Seasons,"Zach Tyler, Mae Whitman, Jack De Sena",Netflix,https://www.netflix.com/ca/title/70142405
Movie,Back in Action,"Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.",Action,2025,-,"Jamie Foxx, Cameron Diaz, Glenn Close",Netflix,https://www.netflix.com/ca/title/81307099
Movie,Barbie,"When an identity crisis clouds her sunny life, Barbie visits the real world and discovers the challenges of just being a woman — or just being a Ken.",Comedy,2023,-,"Margot Robbie, Ryan Gosling, America Ferrera",Netflix,https://www.netflix.com/ca/title/80157969
Movie,Baywatch,"To save their beach, elite lifeguard Mitch Buchannon and a former Olympian probe a criminal plot that threatens the future of the bay.",Comedy,2017,-,"Dwayne Johnson, Zac Efron, Priyanka Chopra Jonas",Netflix,https://www.netflix.com/ca/title/80158583
TV Show,Beauty in Black,An exotic dancer's fate takes a turn when she crosses paths with the dysfunctional family behind a cosmetics dynasty and a devious trafficking scheme.,Drama,2024,1 Season,"Taylor Polidore Williams, Crystle Stewart, Amber Reign Smith",Netflix,https://www.netflix.com/ca/title/81764523
Movie,Beverly Hills Cop: Axel F,"Forty years after his unforgettable first case in Beverly Hills, Detroit cop Axel Foley returns to do what he does best: solve crimes and cause chaos.",Action,2024,-,"Eddie Murphy, Joseph Gordon-Levitt, Taylour Paige",Netflix,https://www.netflix.com/ca/title/81076856
Movie,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,"From making his mark to cementing his legend, this biopic of George Foreman highlights his turn toward faith and an improbable return to the ring.",Drama,2023,-,"Khris Davis, Jasmine Mathews, Sullivan Jones",Netflix,https://www.netflix.com/ca/title/81691509
TV Show,Breaking Bad,A high school chemistry teacher dying of cancer teams with a former student to secure his family's future by manufacturing and selling crystal meth.,Drama,2008,5 Seasons,"Bryan Cranston, Aaron Paul, Anna Gunn",Netflix,https://www.netflix.com/ca/title/70143836
TV Show,Bridgerton,"As a new crop of debutantes yearns to become the brightest of the ball, a wallflower with a double life finds her light amid secrets and surprises.",Drama,2020,3 Seasons,"Adjoa Andoh, Julie Andrews, Lorraine Ashbourne",Netflix,https://www.netflix.com/ca/title/80232398
TV Show,Brooklyn Nine-Nine,Easygoing Brooklyn police detective Jake Peralta must learn to follow the rules and be a team player when his squad gets an exacting new captain.,Comedy,2013,8 Seasons,"Andy Samberg, Andre Braugher, Stephanie Beatriz",Netflix,https://www.netflix.com/ca/title/70281562
Movie,Bumblebee,"Crash-landing on Earth in 1987, lovable hero Bumblebee befriends a feisty teenager while battling sinister Decepticons and a secret government agency.",Action,2018,-,"Hailee Steinfeld, John Cena, Jorge Lendeborg Jr.",Netflix,https://www.netflix.com/ca/title/81004276
